Time,T0,T1,T2,T3,T4,T5,T6,T7
13.1,53.5,51.0,48.0,44.0,40.75,40.0,39.0,22.0
13.94,53.75,51.0,48.0,44.0,40.75,40.0,39.0,22.0
14.78,53.75,51.0,48.0,44.0,40.75,40.0,39.0,22.0
15.62,53.75,51.0,48.0,44.0,40.75,40.0,39.0,22.0
16.46,53.5,51.0,48.0,44.0,40.75,40.0,39.0,22.0
17.3,53.5,51.0,48.0,44.0,40.75,40.0,39.0,22.0
18.14,53.75,51.0,48.0,44.0,40.75,40.0,39.0,22.0
18.98,53.5,51.0,48.0,44.0,40.75,40.0,39.0,22.0
19.82,53.5,51.0,48.0,44.0,40.75,40.0,39.0,22.0
20.67,53.5,51.0,48.0,44.0,40.75,40.0,39.0,22.0
21.51,53.5,51.0,48.0,44.0,40.75,40.0,39.0,22.0
22.35,53.5,51.0,48.0,44.0,40.75,40.0,39.0,22.0
23.19,53.5,51.0,48.0,44.25,40.75,40.0,38.75,22.0
24.03,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
24.87,53.75,51.0,48.0,44.0,40.75,40.0,39.0,21.75
25.71,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
26.55,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
27.39,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
28.23,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
29.07,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
29.91,53.75,51.0,48.0,44.0,40.75,40.0,39.0,21.75
30.75,53.75,51.0,48.0,44.0,40.75,40.0,39.0,21.75
31.59,53.5,51.0,48.0,44.0,40.75,40.0,38.75,21.75
32.43,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
33.27,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
34.11,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
34.95,53.5,50.75,48.0,44.0,40.75,40.0,39.0,21.75
35.79,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
36.63,53.75,51.0,48.0,44.0,40.75,40.0,39.0,21.75
37.47,53.5,50.75,48.0,44.0,40.75,40.0,39.0,21.75
38.31,53.5,50.75,48.0,44.0,40.75,40.0,39.0,21.75
39.15,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
39.99,53.5,51.0,47.75,44.0,40.75,40.0,39.0,21.75
40.83,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
41.67,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
42.51,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
43.35,53.75,51.0,48.0,44.0,40.75,40.0,39.0,21.75
44.19,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
45.03,53.75,51.0,48.0,44.25,40.75,40.0,39.0,21.75
45.88,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
46.71,53.75,51.0,48.0,44.0,40.75,40.0,39.0,21.75
47.56,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
48.4,53.75,51.0,48.0,44.0,40.75,40.0,39.0,21.75
49.24,53.75,51.0,48.0,44.0,40.75,40.0,39.0,22.0
50.08,53.75,51.0,48.0,44.0,40.75,40.0,39.0,21.75
50.92,53.5,51.0,48.0,44.0,40.75,40.0,39.0,21.75
51.76,53.75,51.0,48.0,44.25,40.75,40.0,39.0,21.75
52.6,53.75,51.0,48.0,44.25,40.75,40.0,39.0,21.75
