Time,T0,T1,T2,T3,T4,T5,T6,T7
23.78,56.0,55.75,54.75,53.25,52.0,0.0,0.0,22.75
24.49,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
25.19,56.0,55.75,54.75,53.25,52.25,0.0,0.0,22.75
25.9,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
26.6,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
27.31,56.0,55.75,54.75,53.25,52.25,0.0,0.0,22.75
28.01,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
28.72,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
29.42,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
30.13,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
30.84,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
31.54,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
32.25,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
32.95,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
33.66,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
34.36,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
35.07,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
35.78,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
36.48,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
37.19,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
37.89,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
38.6,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
39.3,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
40.01,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
40.71,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
41.42,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
42.13,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
42.83,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
43.54,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
44.24,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
44.95,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
45.65,56.0,55.75,55.0,53.5,52.25,0.0,0.0,22.75
46.36,56.0,55.75,55.0,53.5,52.25,0.0,0.0,22.75
47.06,56.0,55.75,55.0,53.5,52.25,0.0,0.0,22.75
47.77,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
48.47,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
49.18,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
49.89,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
50.59,56.0,55.75,55.0,53.5,52.25,0.0,0.0,22.75
51.3,56.0,55.75,55.0,53.5,52.25,0.0,0.0,22.75
52.0,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
52.71,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
53.41,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
54.12,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
54.82,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
55.53,56.0,56.0,55.0,53.5,52.25,0.0,0.0,22.75
56.24,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
56.94,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
57.65,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
58.35,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
59.06,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
59.76,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
60.47,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
61.17,56.0,55.75,55.0,53.5,52.25,0.0,0.0,22.75
61.88,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
62.59,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
63.29,56.0,55.75,55.0,53.5,52.25,0.0,0.0,22.75
64.0,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
64.7,56.25,55.75,55.0,53.5,52.25,0.0,0.0,22.75
65.41,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
66.11,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
66.82,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
67.52,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
68.23,56.25,55.75,55.0,53.5,52.5,0.0,0.0,22.75
68.93,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
69.64,56.0,55.75,55.0,53.25,52.25,0.0,0.0,22.75
70.35,56.25,55.75,55.0,53.5,52.25,0.0,0.0,22.75
71.05,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
71.76,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
72.46,56.25,55.75,55.0,53.5,52.5,0.0,0.0,22.75
73.17,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
73.87,56.25,55.75,55.0,53.25,52.25,0.0,0.0,22.75
