Time,T0,T1,T2,T3,T4,T5,T6,T7
28.23,48.25,46.25,46.0,44.75,42.5,42.0,42.5,22.75
29.07,48.25,46.5,46.0,44.75,42.25,42.0,42.5,22.5
29.91,48.25,46.25,46.0,44.75,42.5,42.0,42.5,22.5
30.75,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
31.59,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
32.43,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
33.27,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
34.11,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.5
34.95,48.0,46.25,46.0,45.0,42.5,42.0,42.5,22.5
38.31,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
39.15,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
39.99,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
40.84,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
41.68,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.5
42.52,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.5
43.36,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
44.2,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
45.04,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.5
45.88,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
46.72,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
47.56,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
48.4,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.25
49.24,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.5
50.08,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.5
50.92,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
51.76,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.25
52.6,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.25
53.44,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.5
54.28,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.25
55.12,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.5
58.48,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.25
59.32,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.25
60.16,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.25
61.0,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.25
61.84,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.25
62.68,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.25
63.52,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.25
64.36,48.25,46.25,46.0,45.0,42.5,42.0,42.5,22.25
65.2,48.25,46.5,46.0,44.75,42.5,42.0,42.5,22.25
66.04,48.0,46.5,46.0,45.0,42.5,42.0,42.5,22.25
66.88,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.25
67.73,48.25,46.5,46.0,45.0,42.5,42.0,42.5,22.25
