Time,T0,T1,T2,T3,T4,T5,T6,T7
88.73,58.25,42.25,35.5,28.25,23.5,22.75,22.5,22.0
89.58,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
90.42,58.25,42.25,35.5,28.25,23.5,22.75,22.5,22.0
91.26,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
92.1,58.25,42.25,35.5,28.25,23.5,22.75,22.5,22.0
92.94,58.5,42.25,35.5,28.25,23.25,22.75,22.5,22.0
93.78,58.5,42.25,35.5,28.25,23.5,22.75,22.75,22.0
94.62,58.5,42.25,35.5,28.5,23.5,22.75,22.5,22.0
95.46,58.5,42.25,35.5,28.5,23.5,22.75,22.5,22.0
96.3,58.25,42.25,35.5,28.25,23.5,22.75,22.5,22.0
97.14,58.5,42.25,35.5,28.5,23.5,22.75,22.5,22.0
97.98,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
98.82,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
99.66,58.5,42.25,35.5,28.25,23.5,22.75,22.75,22.0
100.5,58.5,42.25,35.5,28.25,23.5,22.75,22.75,22.0
101.34,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
102.18,58.25,42.25,35.5,28.25,23.5,22.75,22.5,22.0
103.02,58.5,42.25,35.5,28.25,23.5,22.75,22.75,22.0
103.86,58.5,42.5,35.5,28.25,23.5,22.75,22.5,22.0
104.7,58.5,42.5,35.5,28.25,23.5,22.75,22.5,22.0
105.54,58.5,42.5,35.5,28.5,23.5,22.75,22.5,22.0
106.38,58.25,42.5,35.5,28.25,23.5,22.75,22.5,22.0
107.22,58.5,42.5,35.5,28.25,23.5,22.75,22.75,22.0
108.06,58.5,42.5,35.5,28.5,23.5,22.75,22.75,22.0
108.9,58.5,42.5,35.5,28.25,23.5,22.75,22.75,22.0
109.75,58.25,42.5,35.5,28.25,23.5,22.75,22.5,22.0
110.58,58.5,42.5,35.5,28.25,23.5,22.75,22.5,22.0
111.43,58.25,42.5,35.5,28.25,23.5,22.75,22.5,22.0
112.27,58.5,42.5,35.5,28.25,23.5,22.75,22.75,22.0
113.11,58.5,42.5,35.5,28.25,23.5,22.75,22.75,22.0
113.95,58.5,42.5,35.5,28.25,23.5,22.75,22.75,22.0
114.79,58.5,42.5,35.75,28.25,23.5,22.75,22.5,22.0
115.63,58.5,42.5,35.5,28.25,23.5,22.75,22.75,22.0
116.47,58.5,42.5,35.75,28.5,23.5,22.75,22.75,22.0
117.31,58.5,42.5,35.75,28.25,23.5,22.75,22.5,22.0
118.15,58.5,42.5,35.75,28.25,23.5,22.75,22.5,22.0
118.99,58.5,42.5,35.75,28.25,23.5,22.75,22.75,22.0
119.83,58.5,42.5,35.5,28.25,23.5,22.75,22.5,22.0
120.67,58.5,42.5,35.75,28.25,23.5,22.75,22.5,22.0
121.51,58.5,42.5,35.75,28.5,23.5,22.75,22.5,22.0
122.35,58.25,42.5,35.75,28.25,23.5,22.75,22.5,22.0
123.19,58.5,42.5,35.5,28.25,23.5,22.75,22.5,22.0
124.03,58.5,42.5,35.5,28.25,23.5,22.75,22.5,22.0
124.87,58.5,42.5,35.5,28.25,23.5,22.75,22.5,22.0
125.71,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
126.55,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
127.39,58.5,42.25,35.5,28.25,23.5,22.75,22.75,22.0
128.23,58.5,42.25,35.5,28.5,23.5,22.75,22.5,22.0
129.08,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
129.91,58.5,42.25,35.5,28.25,23.5,22.75,22.75,22.25
130.76,58.5,42.25,35.5,28.25,23.25,22.75,22.75,22.0
131.6,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
132.44,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.25
133.28,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
134.12,58.5,42.25,35.5,28.25,23.5,22.75,22.75,22.0
134.96,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
135.8,58.5,42.25,35.5,28.25,23.5,22.75,22.75,22.0
136.64,58.5,42.25,35.5,28.25,23.5,22.75,22.5,22.0
137.48,58.5,42.5,35.5,28.5,23.5,22.75,22.75,22.0
138.32,58.25,42.5,35.5,28.25,23.5,22.75,22.5,22.0
